"zips_for_G","total.consumption","None","Dry.Cooling","Once.Through","Ponds","Recirculating","Hybrid","Generation.y"
"AKGD",2917343.42724437,0,0,436195.529533788,0,2481147.89771058,0,4780657.511
"AKMS",0,0,0,0,0,0,0,1087544.12
"AZNM",186877278.307184,345814.174098693,2985652.20689551,12342788.5789228,-218.39559075148,171013183.447505,190058.295353028,149232739.475
"CAMX",108485251.159181,25042423.8219039,2445509.80081159,19193593.5246237,0,61803724.0118419,0,184670364.892
"ERCT",310936716.995832,0,521314.770301167,39308076.4011704,123708720.756942,147398605.067418,0,319089346.345
"FRCC",214597371.904071,0,0,70561283.8789879,42852867.3675223,101183220.657561,0,218852490.382
"HIMS",1364615.91489153,0,0,498048.744669253,0,866567.170222282,0,2847999.35
"HIOA",6686413.58735359,0,0,2840915.70923489,0,3845497.8781187,0,7356158.942
"MROE",35923891.4823061,0,0,22316644.3508473,6881486.66571779,6725760.46574102,0,34993671.197
"MROW",206883485.982184,21142668.2313038,29472.9884317793,75116323.703481,12320064.9550293,98274956.1039382,0,208664904.484
"NEWE",86833438.7283803,20926030.9987432,1237647.39736232,35552125.5915174,1602072.90928637,27515561.831471,0,110725229.27
"NWPP",244336803.010834,0,572867.571695714,12246371.6566303,22724630.9380517,208442890.765811,350042.078645731,333447946.463
"NYCW",35658809.9151184,0,656109.650466363,31201662.8212376,0,2688954.86388289,1112082.57953152,41354107.55
"NYLI",7196797.87853251,0,196919.815480066,5134400.15804854,0,1865477.9050039,0,11295155.214
"NYUP",63524953.8361015,0,218390.688642248,30972000.9782756,0,31385555.8339173,949006.335266417,84173696.202
"RFCE",335929635.117777,52007684.0808261,801408.41126993,79046429.437764,181497.043694159,203892616.144222,0,270961659.116
"RFCM",85237459.4853166,0,0,40796173.4619414,2109470.06373878,42331815.9596365,0,84672448.457
"RFCW",648636195.674002,95366019.0936207,641024.388870384,146694833.064925,47422215.1562466,358512103.970338,0,516570548.478
"RMPA",83744426.0245777,0,1390559.51126312,13397722.3035106,16827733.0779,52128411.131904,0,84878731.633
"SPNO",58744109.6155548,0,0,19219573.122774,32615040.5470981,6909495.94568266,0,58800557.172
"SPSO",162278218.596594,0,247588.617650065,37186122.5243747,26647660.1129491,98196847.3416205,0,168938111.399
"SRMV",255721411.017517,0,0,57010103.4466673,1201820.14369426,197509487.427156,0,206570890.547
"SRMW",227622459.700448,25770920.9795133,0,66016776.8452075,62146144.6731939,73688617.2025329,0,192662169.866
"SRSO",289027792.60376,64686765.7170329,0,26497751.3648887,5020476.8526566,192822798.669182,0,258081971.271
"SRTV",274612898.468373,0,235668.578047636,116495985.041761,0,157881244.848565,0,235787014.321
"SRVC",347419649.764806,49876861.2192056,344960.519782566,134959493.157096,38856149.9067173,123382184.962005,0,297001250.325
